"gebieden";"onderwerpen";"data_2000";"data_2001";"data_2002";"data_2003";"data_2004";"data_2005";"data_2006";"data_2007";"data_2008";"data_2009";"data_2010";"data_2011";"data_2012"
"Antwerpen";"Percentage 25 tem 39-jarigen";"23,700725";"23,9398753";"24,6629874";"25,1173218";"25,2410214";"25,4312937";"25,7508772";"25,9798821";"26,1438395";"26,4002611";"26,4093261";"26,531026";"26,9868922"
"Antwerpen";"Percentage 40 tem 64-jarigen";"28,136025";"27,8256086";"27,5207334";"27,4954416";"27,5474287";"27,5167152";"27,6444444";"27,6875939";"27,7982449";"27,7846246";"28,0319828";"28,2752121";"28,1108651"
"Antwerpen";"Percentage 65-plussers";"19,4215315";"18,9787202";"18,3455472";"17,8669855";"17,6995585";"17,2706154";"16,7964912";"16,3521794";"15,9428166";"15,6303637";"15,363166";"14,8461302";"14,2637506"
"Antwerpen";"Percentage 18 tem 64-jarigen";"60,6623914";"60,9770268";"61,5808679";"61,9674189";"62,1017778";"62,2696131";"62,6555556";"63,0165337";"63,2192259";"63,4522423";"63,3625613";"63,764439";"64,2710968"
"Antwerpen";"Aantal 0 tem 9-jarigen";"18971";"19289";"19729";"20209";"20289";"21132";"21578";"21957";"22647";"23294";"24080";"24784";"25877"
"Antwerpen";"Aantal 10 tem 19-jarigen";"16565";"16751";"17153";"17152";"17203";"17290";"17263";"17496";"17428";"17527";"17590";"18030";"19066"
"Antwerpen";"Aantal 20 tem 29-jarigen";"24280";"25276";"26880";"27177";"27294";"27876";"28540";"29201";"29538";"30428";"29803";"30402";"32366"
"Antwerpen";"Aantal 30 tem 39-jarigen";"24169";"24753";"25989";"26857";"26991";"27346";"27625";"28146";"28731";"29302";"29621";"30583";"32510"
"Antwerpen";"Aantal 40 tem 49-jarigen";"19889";"20068";"20649";"20917";"20929";"21276";"21369";"21601";"21804";"22301";"22823";"23618";"24976"
"Antwerpen";"Aantal 50 tem 59-jarigen";"17103";"17211";"17548";"17884";"18111";"18271";"18647";"18689";"18973";"19054";"19150";"19674";"20331"
"Antwerpen";"Aantal 60 tem 69-jarigen";"16262";"15646";"15017";"14545";"14459";"14264";"14114";"14198";"14194";"14347";"14399";"14628";"15027"
"Antwerpen";"Aantal 70 tem 79-jarigen";"14831";"14433";"14180";"13829";"13562";"13312";"13139";"12807";"12485";"12343";"12050";"11612";"11172"
"Antwerpen";"Aantal 80 tem 89-jarigen";"6642";"6904";"7161";"7238";"7281";"7354";"7289";"7490";"7697";"7837";"7844";"7801";"7722"
"Antwerpen";"Aantal 90+'ers";"1435";"1466";"1489";"1467";"1501";"1485";"1436";"1395";"1309";"1266";"1236";"1360";"1527"
"Antwerpen";"Aantal mannen 0-9 jaar";"9696";"9881";"10088";"10393";"10488";"10896";"11068";"11177";"11534";"11807";"12171";"12599";"13200"
"Antwerpen";"Aantal mannen 10-19 jaar";"8406";"8509";"8769";"8782";"8781";"8846";"8847";"8898";"8857";"8940";"8948";"9224";"9732"
"Antwerpen";"Aantal mannen 20-29 jaar";"12561";"13146";"14036";"14016";"14106";"14254";"14561";"14826";"14831";"15209";"14921";"15255";"16247"
"Antwerpen";"Aantal mannen 30-39 jaar";"13408";"13766";"14578";"15124";"15161";"15415";"15592";"15919";"16177";"16558";"16526";"16960";"17977"
"Antwerpen";"Aantal mannen 40-49 jaar";"10606";"10760";"11082";"11216";"11372";"11689";"11818";"12070";"12325";"12716";"12960";"13408";"14228"
"Antwerpen";"Aantal mannen 50-59 jaar";"8835";"8834";"9003";"9252";"9489";"9605";"9769";"9827";"10068";"10120";"10158";"10445";"10844"
"Antwerpen";"Aantal mannen 60-69 jaar";"7887";"7610";"7342";"7100";"7067";"6947";"6922";"7030";"7045";"7194";"7192";"7265";"7453"
"Antwerpen";"Aantal mannen 70-79 jaar";"5955";"5855";"5858";"5778";"5748";"5729";"5734";"5592";"5521";"5490";"5388";"5250";"5048"
"Antwerpen";"Aantal mannen 80-89 jaar";"1958";"2123";"2235";"2296";"2346";"2409";"2425";"2558";"2654";"2709";"2717";"2751";"2789"
"Antwerpen";"Aantal mannen 90+ jaar";"298";"296";"302";"308";"326";"333";"313";"304";"283";"264";"281";"311";"380"
"Antwerpen";"Aantal vrouwen 0-9 jaar";"9275";"9408";"9641";"9816";"9801";"10236";"10510";"10780";"11113";"11487";"11909";"12185";"12677"
"Antwerpen";"Aantal vrouwen 10-19 jaar";"8159";"8242";"8384";"8370";"8422";"8444";"8416";"8598";"8571";"8587";"8642";"8806";"9334"
"Antwerpen";"Aantal vrouwen 20-29 jaar";"11719";"12130";"12844";"13161";"13188";"13622";"13979";"14375";"14707";"15219";"14882";"15147";"16119"
"Antwerpen";"Aantal vrouwen 30-39 jaar";"10761";"10987";"11411";"11733";"11830";"11931";"12033";"12227";"12554";"12744";"13095";"13623";"14533"
"Antwerpen";"Aantal vrouwen 40-49 jaar";"9283";"9308";"9567";"9701";"9557";"9587";"9551";"9531";"9479";"9585";"9863";"10210";"10748"
"Antwerpen";"Aantal vrouwen 50-59 jaar";"8268";"8377";"8545";"8632";"8622";"8666";"8878";"8862";"8905";"8934";"8992";"9229";"9487"
"Antwerpen";"Aantal vrouwen 60-69 jaar";"8375";"8036";"7675";"7445";"7392";"7317";"7192";"7168";"7149";"7153";"7207";"7363";"7574"
"Antwerpen";"Aantal vrouwen 70-79 jaar";"8876";"8578";"8322";"8051";"7814";"7583";"7405";"7215";"6964";"6853";"6662";"6362";"6124"
"Antwerpen";"Aantal vrouwen 80-89 jaar";"4684";"4781";"4926";"4942";"4935";"4945";"4864";"4932";"5043";"5128";"5127";"5050";"4933"
"Antwerpen";"Aantal vrouwen 90+ jaar";"1137";"1170";"1187";"1159";"1175";"1152";"1123";"1091";"1026";"1002";"955";"1049";"1147"
"Antwerpen";"Percentage 0 tem 9-jarigen";"11,8459915";"11,9217291";"11,8996351";"12,0813032";"12,1041642";"12,4594649";"12,6187135";"12,693375";"12,955505";"13,1086838";"13,4829447";"13,5808693";"13,5784525"
"Antwerpen";"Percentage 10 tem 19-jarigen";"10,3436218";"10,3530968";"10,3459091";"10,2537737";"10,2630951";"10,1942148";"10,0953216";"10,1144641";"9,9699095";"9,8633082";"9,8490448";"9,8798851";"10,0045127"
"Antwerpen";"Percentage 20 tem 29-jarigen";"15,1610708";"15,6220449";"16,2127929";"16,2468988";"16,2832598";"16,4357393";"16,6900585";"16,8811423";"16,8975893";"17,1233378";"16,6873838";"16,6593604";"16,983429"
"Antwerpen";"Percentage 30 tem 39-jarigen";"15,0917594";"15,2988003";"15,6753822";"16,0555971";"16,1024937";"16,1232504";"16,1549708";"16,2712452";"16,4359347";"16,489682";"16,5854778";"16,7585428";"17,0589902"
"Antwerpen";"Percentage 40 tem 49-jarigen";"12,4192148";"12,4031966";"12,4545372";"12,5045584";"12,4859802";"12,5443675";"12,4964912";"12,4875708";"12,4732561";"12,5498737";"12,7791216";"12,9419372";"13,1056702"
"Antwerpen";"Percentage 50 tem 59-jarigen";"10,6795632";"10,6374037";"10,5841551";"10,6913765";"10,8047966";"10,7726142";"10,9046784";"10,8041392";"10,8537464";"10,7226265";"10,7225246";"10,7807466";"10,6682968"
"Antwerpen";"Percentage 60 tem 69-jarigen";"10,1544206";"9,6701422";"9,0575711";"8,6952623";"8,6260589";"8,4100798";"8,2538012";"8,2078853";"8,1198586";"8,0737652";"8,0623306";"8,0156938";"7,885126"
"Antwerpen";"Percentage 70 tem 79-jarigen";"9,2608666";"8,9204373";"8,5527308";"8,2672246";"8,0909199";"7,8487789";"7,6836257";"7,4037461";"7,1422034";"6,9460155";"6,7470716";"6,3630187";"5,8622897"
"Antwerpen";"Percentage 80 tem 89-jarigen";"4,1474395";"4,2670754";"4,3191894";"4,3270064";"4,3437537";"4,3359315";"4,2625731";"4,3299803";"4,4031669";"4,4102668";"4,3920357";"4,2747079";"4,0519693"
"Antwerpen";"Percentage 90+'ers";"0,8960518";"0,9060737";"0,898097";"0,876999";"0,8954779";"0,8755586";"0,8397661";"0,8064516";"0,7488301";"0,7124407";"0,6920648";"0,7452381";"0,8012636"
"Antwerpen";"Percentage mannen 0-9 jaar";"6,0544375";"6,1070354";"6,0846226";"6,2131221";"6,2570099";"6,424301";"6,4725146";"6,4614406";"6,5981717";"6,6443818";"6,8148223";"6,9038643";"6,9264433"
"Antwerpen";"Percentage mannen 10-19 jaar";"5,2489275";"5,2590592";"5,2890618";"5,2500374";"5,238635";"5,2156174";"5,1736842";"5,1439473";"5,0667597";"5,0309794";"5,0101906";"5,0544681";"5,1066777"
"Antwerpen";"Percentage mannen 20-29 jaar";"7,8434189";"8,1249961";"8,4658765";"8,3790166";"8,4154635";"8,4041838";"8,5152047";"8,5709331";"8,4842626";"8,5588551";"8,3546104";"8,3592705";"8,5252973"
"Antwerpen";"Percentage mannen 30-39 jaar";"8,3723079";"8,5081924";"8,7927863";"9,0413989";"9,0448634";"9,0887115";"9,1181287";"9,202798";"9,254259";"9,318004";"9,2532867";"9,2935581";"9,4330811"
"Antwerpen";"Percentage mannen 40-49 jaar";"6,6226654";"6,6503087";"6,6841581";"6,7051263";"6,7843933";"6,8918552";"6,9111111";"6,9776853";"7,0506733";"7,155921";"7,2566015";"7,3471714";"7,4658663"
"Antwerpen";"Percentage mannen 50-59 jaar";"5,5168064";"5,4599282";"5,4301999";"5,5310118";"5,661019";"5,6631251";"5,7128655";"5,6810036";"5,7595277";"5,6950236";"5,6876974";"5,7235386";"5,6901781"
"Antwerpen";"Percentage mannen 60-69 jaar";"4,9248503";"4,7034247";"4,4283603";"4,2445075";"4,216084";"4,0959636";"4,0479532";"4,0640536";"4,030182";"4,048419";"4,0269659";"3,9809964";"3,9108168"
"Antwerpen";"Percentage mannen 70-79 jaar";"3,7184587";"3,6187321";"3,533279";"3,4541922";"3,4291851";"3,3778286";"3,3532164";"3,2327437";"3,1583584";"3,089494";"3,0168649";"2,8768384";"2,6488398"
"Antwerpen";"Percentage mannen 80-89 jaar";"1,2226267";"1,312138";"1,3480503";"1,37259";"1,3995943";"1,4203507";"1,4181287";"1,4787837";"1,5182545";"1,524488";"1,5213107";"1,5074633";"1,4634735"
"Antwerpen";"Percentage mannen 90+ jaar";"0,186079";"0,1829453";"0,1821527";"0,1841279";"0,1944875";"0,1963374";"0,1830409";"0,1757429";"0,1618938";"0,1485658";"0,1573384";"0,1704184";"0,1993976"
"Antwerpen";"Percentage vrouwen 0-9 jaar";"5,791554";"5,8146937";"5,8150125";"5,8681811";"5,8471543";"6,0351639";"6,1461988";"6,2319343";"6,3573333";"6,464302";"6,6681225";"6,677005";"6,6520092"
"Antwerpen";"Percentage vrouwen 10-19 jaar";"5,0946942";"5,0940376";"5,0568473";"5,0037364";"5,0244601";"4,9785975";"4,9216374";"4,9705168";"4,9031498";"4,8323288";"4,8388542";"4,825417";"4,897835"
"Antwerpen";"Percentage vrouwen 20-29 jaar";"7,3176519";"7,4970488";"7,7469164";"7,8678822";"7,8677962";"8,0315555";"8,1748538";"8,3102093";"8,4133268";"8,5644826";"8,3327734";"8,3000899";"8,4581317"
"Antwerpen";"Percentage vrouwen 30-39 jaar";"6,7194515";"6,790608";"6,882596";"7,0141982";"7,0576304";"7,0345389";"7,0368421";"7,0684472";"7,1816757";"7,1716779";"7,3321911";"7,4649848";"7,6259091"
"Antwerpen";"Percentage vrouwen 40-49 jaar";"5,7965494";"5,7528879";"5,7703791";"5,7994321";"5,7015869";"5,6525123";"5,5853801";"5,5098855";"5,4225827";"5,3939527";"5,5225201";"5,5947658";"5,639804"
"Antwerpen";"Percentage vrouwen 50-59 jaar";"5,1627567";"5,1774755";"5,1539552";"5,1603647";"5,1437776";"5,1094891";"5,1918129";"5,1231356";"5,0942187";"5,0276029";"5,0348272";"5,057208";"4,9781187"
"Antwerpen";"Percentage vrouwen 60-69 jaar";"5,2295703";"4,9667176";"4,6292108";"4,4507547";"4,4099749";"4,3141162";"4,205848";"4,1438317";"4,0896766";"4,0253462";"4,0353647";"4,0346974";"3,9743092"
"Antwerpen";"Percentage vrouwen 70-79 jaar";"5,5424079";"5,3017052";"5,0194517";"4,8130324";"4,6617349";"4,4709503";"4,3304094";"4,1710024";"3,9838449";"3,8565214";"3,7302067";"3,4861802";"3,2134499"
"Antwerpen";"Percentage vrouwen 80-89 jaar";"2,9248128";"2,9549374";"2,9711391";"2,9544164";"2,9441594";"2,9155808";"2,8444444";"2,8511967";"2,8849124";"2,8857788";"2,870725";"2,7672446";"2,5884958"
"Antwerpen";"Percentage vrouwen 90+ jaar";"0,7099727";"0,7231284";"0,7159444";"0,692871";"0,7009903";"0,6792213";"0,6567251";"0,6307088";"0,5869364";"0,5638749";"0,5347264";"0,5748197";"0,6018659"
"Antwerpen";"Aantal Belgen";"125096";"126217";"130180";"131632";"132168";"132767";"132702";"133193";"133702";"134312";"134962";"136122";"137415"
"Antwerpen";"Aantal vreemdelingen";"35041";"35574";"35615";"35643";"35452";"36839";"38298";"39787";"41104";"43387";"43633";"46366";"53159"
"Antwerpen";"Aantal EU'ers (EU15-landen)";"10061";"9940";"10241";"10453";"10681";"11021";"11509";"12212";"12933";"14018";"13590";"14050";"16031"
"Antwerpen";"Aantal nieuwe EU'ers";"715";"927";"1293";"1340";"1250";"1385";"1669";"2175";"2897";"3760";"4466";"5525";"6991"
"Antwerpen";"Aantal Europeanen buiten EU";"3337";"4404";"4670";"3823";"3305";"3317";"3061";"2924";"2877";"2703";"2592";"2786";"3883"
"Antwerpen";"Aantal Marokkanen";"7743";"6911";"5269";"5037";"4979";"5013";"5073";"5037";"5025";"5098";"5235";"5113";"5231"
"Antwerpen";"Aantal Turken";"4526";"3880";"3001";"2899";"2786";"2669";"2687";"2620";"2583";"2574";"2514";"2523";"2592"
"Antwerpen";"Rest AziÃ«";"3730";"4683";"6046";"6448";"6508";"6984";"7361";"7549";"7409";"7555";"7242";"7905";"8982"
"Antwerpen";"Rest Afrika";"2095";"2223";"2598";"3245";"3421";"3748";"3997";"4091";"4260";"4357";"4426";"4526";"4999"
"Antwerpen";"Amerika en OceaniÃ«";"1499";"1464";"1523";"1592";"1587";"1634";"1623";"1652";"1670";"1738";"1711";"1796";"1964"
"Antwerpen";"Aantal niet-EU'ers";"24265";"24707";"24081";"23850";"23521";"24433";"25120";"25400";"25274";"25609";"25577";"26791";"30136"
"Antwerpen";"Aantal vluchtelingen";"1335";"1142";"974";"806";"935";"1068";"1318";"1527";"1450";"1584";"1857";"2142";"2485"
"Antwerpen";"Nationaliteit onbekend";"x";"0";"0";"0";"0";"0";"0";"0";"0";"0";"x";"x";"0"
"Antwerpen";"Percentage Belgen";"78,1132335";"78,009481";"78,5186526";"78,6919743";"78,8497793";"78,2796599";"77,6035088";"76,999075";"76,485933";"75,5839932";"75,5683218";"74,590667";"72,1058486"
"Antwerpen";"Percentage vreemdelingen";"21,8805223";"21,9868106";"21,4813474";"21,3080257";"21,1502207";"21,7203401";"22,3964912";"23,000925";"23,514067";"24,4160068";"24,4311183";"25,4071411";"27,8941514"
"Antwerpen";"Percentage EU15";"6,2823531";"6,1435008";"6,1769052";"6,2489912";"6,3721513";"6,4980012";"6,7304094";"7,0597757";"7,3984875";"7,8886206";"7,609353";"7,6989676";"8,4119555"
"Antwerpen";"Percentage nieuwe EU";"0,4464648";"0,5729402";"0,7798788";"0,8010761";"0,7457344";"0,8165985";"0,9760234";"1,2573708";"1,6572658";"2,1159376";"2,5006159";"3,02753";"3,6683913"
"Antwerpen";"Percentage niet EU'ers";"15,1517044";"15,2703697";"14,5245635";"14,2579585";"14,032335";"14,4057404";"14,6900585";"14,6837785";"14,4583138";"14,4114486";"14,3211494";"14,6806435";"15,8132799"
"Antwerpen";"Percentage Europa buiten EU";"2,0837106";"2,7219293";"2,8167315";"2,2854581";"1,9717218";"1,9557091";"1,7900585";"1,6903688";"1,6458245";"1,5211115";"1,4513203";"1,5266423";"2,0375287"
"Antwerpen";"Percentage Marokkanen";"4,8349329";"4,2714018";"3,1780211";"3,0112091";"2,9704093";"2,9556737";"2,9666667";"2,9118973";"2,8746153";"2,8688963";"2,9311967";"2,8017667";"2,7448655"
"Antwerpen";"Percentage Turken";"2,8261535";"2,3980667";"1,8100666";"1,7330743";"1,6620928";"1,5736472";"1,571345";"1,514626";"1,4776381";"1,4485169";"1,4076463";"1,3825264";"1,3601016"
"Antwerpen";"Percentage Rest AziÃ«";"2,3291101";"2,8943676";"3,6466721";"3,8547302";"3,8825916";"4,1177789";"4,3046784";"4,3640883";"4,2384129";"4,2515715";"4,054962";"4,3316967";"4,7131298"
"Antwerpen";"Percentage Rest Afrika";"1,3081731";"1,3739439";"1,5669954";"1,9399193";"2,0409259";"2,2098275";"2,3374269";"2,3650133";"2,4369873";"2,451899";"2,478219";"2,4801087";"2,623128"
"Antwerpen";"Percentage Amerika en OceaniÃ«";"0,936015";"0,9048375";"0,9186043";"0,9517262";"0,9467844";"0,9634093";"0,9491228";"0,9550237";"0,9553448";"0,9780584";"0,9580282";"0,9841527";"1,0305708"
"Antwerpen";"Percentage vluchtelingen";"0,8336091";"0,7058227";"0,5874725";"0,4818413";"0,5578093";"0,6296947";"0,7707602";"0,882761";"0,829491";"0,891395";"1,0397769";"1,1737501";"1,3039554"
"Antwerpen";"Percentage nationaliteit onbekend";"0,0018733";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0005599";"0,0021919";"0"
"Antwerpen";"Aantal autochtonen";"?";"?";"?";"?";"108078";"106606";"105410";"104758";"104177";"104217";"103908";"103734";"105501"
"Antwerpen";"Aantal nieuwe Belgen";"?";"?";"?";"?";"24090";"26161";"27292";"28434";"29521";"30095";"31054";"32388";"31974"
"Antwerpen";"Aantal allochtonen";"?";"?";"?";"?";"59542";"63000";"65590";"68222";"70629";"73482";"74688";"78758";"85063"
"Antwerpen";"Aantal EU'ers (EU15)";"?";"?";"?";"?";"?";"?";"?";"14611";"15286";"16379";"15887";"16281";"18047"
"Antwerpen";"Aantal nieuwe EU'ers";"?";"?";"?";"?";"?";"?";"?";"2826";"3628";"4445";"5153";"6269";"7565"
"Antwerpen";"Aantal allochtonen niet EU";"?";"?";"?";"?";"?";"?";"?";"47723";"48625";"49588";"50672";"53398";"59451"
"Antwerpen";"Aantal Europeanen buiten de EU";"?";"?";"?";"?";"?";"?";"?";"4739";"4925";"4532";"4548";"5057";"7741"
"Antwerpen";"Aantal Marokkanen";"?";"?";"?";"?";"?";"?";"?";"13595";"13940";"14169";"14547";"14765";"15956"
"Antwerpen";"Aantal Turken";"?";"?";"?";"?";"?";"?";"?";"6731";"6730";"6681";"6696";"6785";"7555"
"Antwerpen";"Aantal rest AziÃ«";"?";"?";"?";"?";"?";"?";"?";"10754";"11210";"11298";"11543";"13078";"14188"
"Antwerpen";"Aantal rest Afrika";"?";"?";"?";"?";"?";"?";"?";"6291";"6848";"6997";"7350";"8000";"9472"
"Antwerpen";"Aantal Amerika en OceaniÃ«";"?";"?";"?";"?";"?";"?";"?";"2597";"2654";"2754";"2761";"2903";"3194"
"Antwerpen";"Aantal vluchtelingen";"?";"?";"?";"?";"?";"?";"?";"3016";"2318";"3157";"3227";"2810";"1345"
"Antwerpen";"Aantal etniciteit onbekend";"?";"?";"?";"?";"?";"?";"?";"3060";"3088";"3069";"2976";"2810";"828"
"Antwerpen";"Percentage autochtonen";"?";"?";"?";"?";"64,4779859";"62,8550877";"61,6432749";"60,5607585";"59,5957805";"58,6480509";"58,1804744";"56,8430397";"55,3595978"
"Antwerpen";"Percentage nieuwe Belgen";"?";"?";"?";"?";"14,3717933";"15,4245722";"15,9602339";"16,4377385";"16,8878643";"16,9359422";"17,3878474";"17,7476273";"16,7777346"
"Antwerpen";"Percentage allochtonen";"?";"?";"?";"?";"35,5220141";"37,1449123";"38,3567251";"39,4392415";"40,4042195";"41,3519491";"41,8195256";"43,1569603";"44,6351548"
"Antwerpen";"Percentage EU'ers (EU15)";"?";"?";"?";"?";"?";"?";"?";"8,4466412";"8,7445511";"9,2172719";"8,895496";"8,921487";"9,4698123"
"Antwerpen";"Percentage nieuwe EU'ers";"?";"?";"?";"?";"?";"?";"?";"1,6337149";"2,0754436";"2,5014209";"2,885283";"3,4352191";"3,9695866"
"Antwerpen";"Percentage allochtonen niet EU";"?";"?";"?";"?";"?";"?";"?";"27,5887386";"27,8165509";"27,9056157";"28,372416";"29,2604607";"31,195756"
"Antwerpen";"Percentage Europa buiten EU";"?";"?";"?";"?";"?";"?";"?";"2,7396231";"2,817409";"2,5503801";"2,5465296";"2,7710804";"4,0619392"
"Antwerpen";"Percentage Marokkanen";"?";"?";"?";"?";"?";"?";"?";"7,8592901";"7,9745546";"7,9735958";"8,1451992";"8,0907656";"8,3726007"
"Antwerpen";"Percentage Turken";"?";"?";"?";"?";"?";"?";"?";"3,8912013";"3,8499823";"3,7597285";"3,7492441";"3,7179712";"3,9643393"
"Antwerpen";"Percentage Rest AziÃ«";"?";"?";"?";"?";"?";"?";"?";"6,2169037";"6,4128234";"6,3579424";"6,4631907";"7,1663415";"7,4448771"
"Antwerpen";"Percentage rest Afrika";"?";"?";"?";"?";"?";"?";"?";"3,6368366";"3,9174857";"3,9375573";"4,1154337";"4,3837538";"4,9702478"
"Antwerpen";"Percentage Amerika en OceaniÃ«";"?";"?";"?";"?";"?";"?";"?";"1,5013296";"1,5182545";"1,5498118";"1,5459473";"1,5907547";"1,6759894"
"Antwerpen";"Percentage vluchtelingen";"?";"?";"?";"?";"?";"?";"?";"1,7435542";"1,3260414";"1,7765998";"1,8068714";"1,5397935";"0,7057626"
"Antwerpen";"Percentage etniciteit onbekend";"?";"?";"?";"?";"?";"?";"?";"1,7689906";"1,7665298";"1,7270778";"1,6663307";"1,5397935";"0,4344769"
"Antwerpen";"Aantal Noord-Europeanen";"?";"?";"?";"?";"?";"?";"?";"377";"389";"418";"393";"386";"406"
"Antwerpen";"Aantal West-Europeanen";"?";"?";"?";"?";"?";"?";"?";"10816";"11445";"12340";"12000";"12174";"13316"
"Antwerpen";"Aantal Zuid-Europeanen";"?";"?";"?";"?";"?";"?";"?";"3823";"3859";"4017";"3876";"4105";"4712"
"Antwerpen";"Aantal Oost-Europeanen";"?";"?";"?";"?";"?";"?";"?";"7942";"8740";"9486";"10187";"11639";"15132"
"Antwerpen";"Aantal West-Aziaten";"?";"?";"?";"?";"?";"?";"?";"12019";"12012";"12033";"12284";"13134";"13622"
"Antwerpen";"Aantal Centraal-Aziaten";"?";"?";"?";"?";"?";"?";"?";"450";"451";"443";"453";"497";"145"
"Antwerpen";"Aantal Zuid-Aziaten";"?";"?";"?";"?";"?";"?";"?";"3678";"3699";"3882";"3876";"4171";"4775"
"Antwerpen";"Aantal Oost-Aziaten";"?";"?";"?";"?";"?";"?";"?";"2301";"2480";"2609";"2604";"2928";"3412"
"Antwerpen";"Aantal Noord-Afrikanen";"?";"?";"?";"?";"?";"?";"?";"14472";"14858";"15121";"15511";"15801";"17161"
"Antwerpen";"Aantal West-Afrikanen";"?";"?";"?";"?";"?";"?";"?";"3316";"3614";"3894";"4189";"4474";"5160"
"Antwerpen";"Aantal Centraal-Afrikanen";"?";"?";"?";"?";"?";"?";"?";"2031";"2048";"2013";"2027";"2084";"2226"
"Antwerpen";"Aantal Zuid-Afrikanen (regio)";"?";"?";"?";"?";"?";"?";"?";"62";"85";"81";"67";"81";"95"
"Antwerpen";"Aantal Oost-Afrikanen";"?";"?";"?";"?";"?";"?";"?";"457";"502";"535";"585";"702";"849"
"Antwerpen";"Aantal Noord-Amerikanen";"?";"?";"?";"?";"?";"?";"?";"1205";"1190";"1230";"1187";"1226";"1235"
"Antwerpen";"Aantal Zuid-Amerikanen";"?";"?";"?";"?";"?";"?";"?";"1371";"1435";"1483";"1533";"1633";"1899"
"Antwerpen";"Aantal OceaniÃ«rs";"?";"?";"?";"?";"?";"?";"?";"82";"80";"93";"93";"93";"89"
"Antwerpen";"Percentage Noord-Europeanen";"?";"?";"?";"?";"?";"?";"?";"0,2179443";"0,2225324";"0,2352292";"0,2200497";"0,2115161";"0,2130406"
"Antwerpen";"Percentage West-Europeanen";"?";"?";"?";"?";"?";"?";"?";"6,252746";"6,5472581";"6,9443272";"6,7190755";"6,6709774";"6,987312"
"Antwerpen";"Percentage Zuid-Europeanen";"?";"?";"?";"?";"?";"?";"?";"2,2100821";"2,2075901";"2,2605642";"2,1702614";"2,2494137";"2,4725304"
